First,Japanese,English
無限 210,固定 ,Fixation
固定 210,製品 ,product 
製品 210,送り込 ,Sending in
送り込 210,解け ,Solving
解け 210,貨物 ,Cargo
貨物 210,離陸 ,take off 
離陸 210,潜水 ,Dive
潜水 209,任 ,Appointment
任 209,上着 ,Jacket
上着 209,空軍 ,Air Force 
空軍 209,アリ ,Ants
アリ 209,通話 ,Calling
通話 209,押し入 ,Push -in
押し入 209,火曜 ,Tuesday
火曜 208,児 ,Child
児 208,一応 ,At once
一応 208,体制 ,System 
体制 208,栄光 ,Glory
栄光 208,技 ,Technique
技 208,単独 ,Independence
単独 207,自警 ,Police police
自警 207,一晩 ,One night 
一晩 207,加速 ,Acceleration
加速 207,過剰 ,Excessive
過剰 207,アボット ,Abbott
アボット 207,丁度 ,exactly 
丁度 206,不利 ,Unfavorable 
不利 206,人種 ,Race
人種 206,民主 ,Democracy
民主 206,交代 ,Change
交代 206,果 ,Fruit
果 206,史上 ,History
史上 206,引き渡 ,Handing over
引き渡 206,独房 ,Germin
独房 206,民衆 ,People
民衆 206,陸軍 ,Army
陸軍 205,書け ,Writing
書け 205,アレン ,Allen
アレン 205,イアン ,Ian
イアン 205,有効 ,valid 
有効 205,検出 ,Detection
検出 205,集合 ,Meeting
集合 204,食え ,Eating
食え 204,ピアノ ,Piano
ピアノ 204,経歴 ,Career
経歴 204,判決 ,Judgment
判決 204,利 ,Interest
利 204,所持 ,Possession
所持 204,進歩 ,Progress
進歩 204,見解 ,View
見解 204,都 ,Capital
都 204,アーチャー ,Archer 
アーチャー 204,声明 ,Statement
声明 203,回避 ,Avoidance 
回避 203,文化 ,Culture
文化 203,粒子 ,Particles
粒子 202,アイリーン ,Eyeline
アイリーン 202,通路 ,aisle 
通路 202,坊主 ,Shaven
坊主 202,持ち込 ,Bringing in
持ち込 201,設置 ,Installation 
設置 201,載せ ,Posting
載せ 201,報 ,Report
報 201,業界 ,Industry
業界 201,取り返 ,Obvious
取り返 201,意地 ,Intention
意地 200,獲得 ,Acquisition
獲得 200,変異 ,mutation 
変異 200,調達 ,Procurement
調達 200,情熱 ,passion 
情熱 200,最適 ,Optimal
最適 200,区域 ,Area
区域 199,変人 ,weirdo 
変人 199,催眠 ,Hypnosis
催眠 199,現象 ,Phenomenon
現象 199,法的 ,Legal
法的 199,本能 ,Instinct
本能 199,葉 ,leaf 
葉 198,風邪 ,cold 
風邪 198,仕上げ ,Finishing
仕上げ 198,重力 ,Gravity
重力 198,着信 ,Incoming call
着信 198,台所 ,kitchen 
台所 198,変態 ,Metamorphosis
変態 198,白状 ,Confidence
白状 198,アカデミー ,Academy
アカデミー 198,飛び降り ,Jumping off
飛び降り 198,意気 ,Intention
意気 197,送り ,Sending
送り 197,近寄 ,Close
近寄 197,成績 ,Result
成績 197,合流 ,Joining
合流 197,是非 ,I'd love to 
是非 197,例外 ,Exception
例外 197,同志 ,Comrades
同志 196,素直 ,Obedient 
素直 196,ワイアット ,Wiat
ワイアット 196,本来 ,Originally
本来 196,皆殺し ,Killing
皆殺し 196,各 ,Each
各 196,応 ,Response 
応 195,引き出 ,Withdrawal
引き出 195,主に ,mainly 
主に 195,対抗 ,Competition
対抗 195,充電 ,Charging
充電 194,墓地 ,Graveyard
墓地 194,座り ,sitting 
座り 194,売買 ,Buying and selling
売買 194,大体 ,roughly 
大体 194,創 ,Foundation
創 194,田舎 ,countryside 
田舎 193,万歳 ,Banzai 
万歳 193,同じく ,Equally
同じく 193,休め ,Rest
休め 193,見張り ,Lookout
見張り 193,論 ,Argument
論 192,番地 ,street address 
番地 192,体重 ,Weight
体重 192,直感 ,Intuition
直感 192,伝わ ,Conveyor
伝わ 192,一丿 ,One 丿
一丿 191,衝動 ,Urge
衝動 191,手首 ,Wrist
手首 191,持ち帰 ,Take -back
持ち帰 191,一種 ,One species
一種 191,相応し ,Appropriate
相応し 191,直後 ,Immediately after
直後 190,,#VALUE!
